"Series";"Time";"Value"
"Potència activa";"2019-04-01T02:00:00+02:00";2150000
"Potència activa";"2019-04-01T14:00:00+02:00";770000
"Potència activa";"2019-04-02T02:00:00+02:00";1900000
"Potència activa";"2019-04-02T14:00:00+02:00";730000
"Potència activa";"2019-04-03T02:00:00+02:00";1804000
"Potència activa";"2019-04-03T14:00:00+02:00";742000
"Potència activa";"2019-04-04T02:00:00+02:00";1884000
"Potència activa";"2019-04-04T14:00:00+02:00";729000
"Potència activa";"2019-04-05T02:00:00+02:00";2064000
"Potència activa";"2019-04-05T14:00:00+02:00";766000
"Potència activa";"2019-04-06T02:00:00+02:00";1101000
"Potència activa";"2019-04-06T14:00:00+02:00";752000
"Potència activa";"2019-04-07T02:00:00+02:00";936000
"Potència activa";"2019-04-07T14:00:00+02:00";817000
"Potència activa";"2019-04-08T02:00:00+02:00";1906000
"Potència activa";"2019-04-08T14:00:00+02:00";769000
"Potència activa";"2019-04-09T02:00:00+02:00";1990000
"Potència activa";"2019-04-09T14:00:00+02:00";716000
"Potència activa";"2019-04-10T02:00:00+02:00";1899000
"Potència activa";"2019-04-10T14:00:00+02:00";777000
"Potència activa";"2019-04-11T02:00:00+02:00";1840000
"Potència activa";"2019-04-11T14:00:00+02:00";780000
"Potència activa";"2019-04-12T02:00:00+02:00";1773000
"Potència activa";"2019-04-12T14:00:00+02:00";752000
"Potència activa";"2019-04-13T02:00:00+02:00";1001000
"Potència activa";"2019-04-13T14:00:00+02:00";749000
"Potència activa";"2019-04-14T02:00:00+02:00";850000
"Potència activa";"2019-04-14T14:00:00+02:00";708000
"Potència activa";"2019-04-15T02:00:00+02:00";1882000
"Potència activa";"2019-04-15T14:00:00+02:00";725000
"Potència activa";"2019-04-16T02:00:00+02:00";1864000
"Potència activa";"2019-04-16T14:00:00+02:00";745000
"Potència activa";"2019-04-17T02:00:00+02:00";1748000
"Potència activa";"2019-04-17T14:00:00+02:00";700000
"Potència activa";"2019-04-18T02:00:00+02:00";990000
"Potència activa";"2019-04-18T14:00:00+02:00";690000
"Potència activa";"2019-04-19T02:00:00+02:00";931000
"Potència activa";"2019-04-19T14:00:00+02:00";722000
"Potència activa";"2019-04-20T02:00:00+02:00";827000
"Potència activa";"2019-04-20T14:00:00+02:00";719000
"Potència activa";"2019-04-21T02:00:00+02:00";752000
"Potència activa";"2019-04-21T14:00:00+02:00";710000
"Potència activa";"2019-04-22T02:00:00+02:00";970000
"Potència activa";"2019-04-22T14:00:00+02:00";704000
"Potència activa";"2019-04-23T02:00:00+02:00";1100000
"Potència activa";"2019-04-23T14:00:00+02:00";703000
"Potència activa";"2019-04-24T02:00:00+02:00";1112000
"Potència activa";"2019-04-24T14:00:00+02:00";690000
"Potència activa";"2019-04-25T02:00:00+02:00";1233000
"Potència activa";"2019-04-25T14:00:00+02:00";725000
"Potència activa";"2019-04-26T02:00:00+02:00";1080000
"Potència activa";"2019-04-26T14:00:00+02:00";737000
"Potència activa";"2019-04-27T02:00:00+02:00";963000
"Potència activa";"2019-04-27T14:00:00+02:00";686000
"Potència activa";"2019-04-28T02:00:00+02:00";867000
"Potència activa";"2019-04-28T14:00:00+02:00";716000
"Potència activa";"2019-04-29T02:00:00+02:00";1704000
"Potència activa";"2019-04-29T14:00:00+02:00";753000
"Potència activa";"2019-04-30T02:00:00+02:00";1737000
"Potència activa";"2019-04-30T14:00:00+02:00";724000
"Potència activa";"2019-05-01T02:00:00+02:00";968000
"Potència activa";"2019-05-01T14:00:00+02:00";740000
"Potència activa";"2019-05-02T02:00:00+02:00";1784000
"Potència activa";"2019-05-02T14:00:00+02:00";742000
"Potència activa";"2019-05-03T02:00:00+02:00";1780000
"Potència activa";"2019-05-03T14:00:00+02:00";720000
"Potència activa";"2019-05-04T02:00:00+02:00";988000
"Potència activa";"2019-05-04T14:00:00+02:00";678000
"Potència activa";"2019-05-05T02:00:00+02:00";802000
"Potència activa";"2019-05-05T14:00:00+02:00";682000
"Potència activa";"2019-05-06T02:00:00+02:00";1823000
"Potència activa";"2019-05-06T14:00:00+02:00";765000
"Potència activa";"2019-05-07T02:00:00+02:00";1799000
"Potència activa";"2019-05-07T14:00:00+02:00";725000
"Potència activa";"2019-05-08T02:00:00+02:00";1933000
"Potència activa";"2019-05-08T14:00:00+02:00";746000
"Potència activa";"2019-05-09T02:00:00+02:00";1723000
"Potència activa";"2019-05-09T14:00:00+02:00";698000
"Potència activa";"2019-05-10T02:00:00+02:00";2139000
"Potència activa";"2019-05-10T14:00:00+02:00";756000
"Potència activa";"2019-05-11T02:00:00+02:00";1018000
"Potència activa";"2019-05-11T14:00:00+02:00";728000
"Potència activa";"2019-05-12T02:00:00+02:00";1183000
"Potència activa";"2019-05-12T14:00:00+02:00";741000
"Potència activa";"2019-05-13T02:00:00+02:00";1924000
"Potència activa";"2019-05-13T14:00:00+02:00";757000
"Potència activa";"2019-05-14T02:00:00+02:00";1811000
"Potència activa";"2019-05-14T14:00:00+02:00";705000
"Potència activa";"2019-05-15T02:00:00+02:00";1875000
"Potència activa";"2019-05-15T14:00:00+02:00";749000
"Potència activa";"2019-05-16T02:00:00+02:00";1888000
"Potència activa";"2019-05-16T14:00:00+02:00";750000
"Potència activa";"2019-05-17T02:00:00+02:00";1792000
"Potència activa";"2019-05-17T14:00:00+02:00";709000
"Potència activa";"2019-05-18T02:00:00+02:00";932000
"Potència activa";"2019-05-18T14:00:00+02:00";739000
"Potència activa";"2019-05-19T02:00:00+02:00";887000
"Potència activa";"2019-05-19T14:00:00+02:00";876000
"Potència activa";"2019-05-20T02:00:00+02:00";1862000
"Potència activa";"2019-05-20T14:00:00+02:00";736000
"Potència activa";"2019-05-21T02:00:00+02:00";1921000
"Potència activa";"2019-05-21T14:00:00+02:00";715000
"Potència activa";"2019-05-22T02:00:00+02:00";1870000
"Potència activa";"2019-05-22T14:00:00+02:00";726000
"Potència activa";"2019-05-23T02:00:00+02:00";1915000
"Potència activa";"2019-05-23T14:00:00+02:00";728000
"Potència activa";"2019-05-24T02:00:00+02:00";1656000
"Potència activa";"2019-05-24T14:00:00+02:00";707000
"Potència activa";"2019-05-25T02:00:00+02:00";1053000
"Potència activa";"2019-05-25T14:00:00+02:00";676000
"Potència activa";"2019-05-26T02:00:00+02:00";878000
"Potència activa";"2019-05-26T14:00:00+02:00";688000
"Potència activa";"2019-05-27T02:00:00+02:00";1732000
"Potència activa";"2019-05-27T14:00:00+02:00";701000
"Potència activa";"2019-05-28T02:00:00+02:00";1794000
"Potència activa";"2019-05-28T14:00:00+02:00";780000
"Potència activa";"2019-05-29T02:00:00+02:00";1717000
"Potència activa";"2019-05-29T14:00:00+02:00";720000
"Potència activa";"2019-05-30T02:00:00+02:00";1749000
"Potència activa";"2019-05-30T14:00:00+02:00";736000
"Potència activa";"2019-05-31T02:00:00+02:00";1736000
"Potència activa";"2019-05-31T14:00:00+02:00";731000
"Potència activa";"2019-06-01T02:00:00+02:00";1016000
"Potència activa";"2019-06-01T14:00:00+02:00";709000
"Potència activa";"2019-06-02T02:00:00+02:00";941000
"Potència activa";"2019-06-02T14:00:00+02:00";748000
"Potència activa";"2019-06-03T02:00:00+02:00";1787000
"Potència activa";"2019-06-03T14:00:00+02:00";738000
"Potència activa";"2019-06-04T02:00:00+02:00";1895000
"Potència activa";"2019-06-04T14:00:00+02:00";727000
"Potència activa";"2019-06-05T02:00:00+02:00";1857000
"Potència activa";"2019-06-05T14:00:00+02:00";809000
"Potència activa";"2019-06-06T02:00:00+02:00";1843000
"Potència activa";"2019-06-06T14:00:00+02:00";726000
"Potència activa";"2019-06-07T02:00:00+02:00";1912000
"Potència activa";"2019-06-07T14:00:00+02:00";745000
"Potència activa";"2019-06-08T02:00:00+02:00";1037000
"Potència activa";"2019-06-08T14:00:00+02:00";739000
"Potència activa";"2019-06-09T02:00:00+02:00";991000
"Potència activa";"2019-06-09T14:00:00+02:00";764000
"Potència activa";"2019-06-10T02:00:00+02:00";1999000
"Potència activa";"2019-06-10T14:00:00+02:00";797000
"Potència activa";"2019-06-11T02:00:00+02:00";1826000
"Potència activa";"2019-06-11T14:00:00+02:00";746000
"Potència activa";"2019-06-12T02:00:00+02:00";1866000
"Potència activa";"2019-06-12T14:00:00+02:00";733000
"Potència activa";"2019-06-13T02:00:00+02:00";1968000
"Potència activa";"2019-06-13T14:00:00+02:00";758000
"Potència activa";"2019-06-14T02:00:00+02:00";1870000
"Potència activa";"2019-06-14T14:00:00+02:00";717000
"Potència activa";"2019-06-15T02:00:00+02:00";1095000
"Potència activa";"2019-06-15T14:00:00+02:00";729000
"Potència activa";"2019-06-16T02:00:00+02:00";1090000
"Potència activa";"2019-06-16T14:00:00+02:00";803000
"Potència activa";"2019-06-17T02:00:00+02:00";2203000
"Potència activa";"2019-06-17T14:00:00+02:00";748000
"Potència activa";"2019-06-18T02:00:00+02:00";2034000
"Potència activa";"2019-06-18T14:00:00+02:00";793000
"Potència activa";"2019-06-19T02:00:00+02:00";2057000
"Potència activa";"2019-06-19T14:00:00+02:00";721000
"Potència activa";"2019-06-20T02:00:00+02:00";2142000
"Potència activa";"2019-06-20T14:00:00+02:00";805000
"Potència activa";"2019-06-21T02:00:00+02:00";1983000
"Potència activa";"2019-06-21T14:00:00+02:00";812000
"Potència activa";"2019-06-22T02:00:00+02:00";1448000
"Potència activa";"2019-06-22T14:00:00+02:00";753000
"Potència activa";"2019-06-23T02:00:00+02:00";1075000
"Potència activa";"2019-06-23T14:00:00+02:00";826000
"Potència activa";"2019-06-24T02:00:00+02:00";1460000
"Potència activa";"2019-06-24T14:00:00+02:00";718000
"Potència activa";"2019-06-25T02:00:00+02:00";2418000
"Potència activa";"2019-06-25T14:00:00+02:00";787000
"Potència activa";"2019-06-26T02:00:00+02:00";2692000
"Potència activa";"2019-06-26T14:00:00+02:00";828000
"Potència activa";"2019-06-27T02:00:00+02:00";2555000
"Potència activa";"2019-06-27T14:00:00+02:00";851000
"Potència activa";"2019-06-28T02:00:00+02:00";2622000
"Potència activa";"2019-06-28T14:00:00+02:00";778000
"Potència activa";"2019-06-29T02:00:00+02:00";1503000
"Potència activa";"2019-06-29T14:00:00+02:00";774000
"Potència activa";"2019-06-30T02:00:00+02:00";1431000
"Potència activa";"2019-06-30T14:00:00+02:00";760000
"Potència activa";"2019-07-01T02:00:00+02:00";2701000
"Potència activa";"2019-07-01T14:00:00+02:00";896000
"Potència activa";"2019-07-02T02:00:00+02:00";2732000
"Potència activa";"2019-07-02T14:00:00+02:00";824000
"Potència activa";"2019-07-03T02:00:00+02:00";2638000
"Potència activa";"2019-07-03T14:00:00+02:00";824000
